,station_coords,station_names
5075,"'119.032435,31.639045'",实验幼儿园
5076,"'119.032465,31.641324'",广成花园
5077,"'119.031823,31.644774'",省溧中附中
5078,"'119.031672,31.647172'",弯子口南
5081,"'119.029896,31.657808'",财贸新村
5082,"'119.025534,31.658785'",南京银行
5083,"'119.022613,31.661723'",宝塔寺
5084,"'119.021378,31.664978'",宝塔桥
5085,"'119.019939,31.669171'",马场路口
5086,"'119.019058,31.673328'",一品骊城
5087,"'119.018516,31.678125'",田冲
5088,"'119.014045,31.686293'",创维乐活城南
5089,"'119.016463,31.689206'",群力大道
5090,"'119.014484,31.692305'",中兴西路
5091,"'119.011428,31.692187'",创维乐活城
5092,"'119.007782,31.693681'",胜水路南
5093,"'119.007661,31.696354'",胜水路
5906,"'119.061866,31.511489'",石山下
5907,"'119.089815,31.508168'",竹上云想
5908,"'119.08796,31.519653'",新山里
5909,"'119.083811,31.527826'",观山驿站
5910,"'119.082274,31.538277'",朱夏村
5911,"'119.06694,31.536153'",晶桥中心卫生院
5912,"'119.058036,31.536628'",轮胎厂
5913,"'119.051306,31.538138'",张村
5914,"'119.042266,31.541311'",经家山
5915,"'119.036671,31.542391'",水晶路口
5916,"'119.031992,31.54546'",薛家村
5917,"'119.028181,31.549501'",马家
5918,"'119.026207,31.55276'",汤家
5919,"'119.025104,31.555091'",傅家边
5920,"'119.023832,31.557821'",傅家边敬老院
5921,"'119.022376,31.560968'",傅家边科技园
5922,"'119.020942,31.565877'",盛村
5923,"'119.016866,31.571385'",傅家边村委会
5924,"'119.011836,31.573255'",涧东
5925,"'119.008229,31.572309'",草莓园广场
5926,"'119.012791,31.572973'",涧东
5927,"'119.028499,31.578587'",老虎山驿站
5928,"'119.028407,31.591202'",裸心岭度假村
5929,"'119.029728,31.595067'",无想寺·老庙
5930,"'119.020139,31.601706'",无想禅寺
5931,"'119.025668,31.612526'",无想山景区
5932,"'119.026771,31.615239'",高岩路口
5933,"'119.030343,31.618676'",幸庄湿地公园
5934,"'119.033715,31.622938'",城隍庙西
5935,"'119.035985,31.62849'",随园路
5936,"'119.034297,31.632331'",人民医院北
5937,"'119.032405,31.635282'",省溧中东站
5941,"'119.031675,31.646897'",弯子口南
5943,"'119.031632,31.655226'",通济街
5946,"'119.041878,31.660547'",S7溧水站西
7587,"'118.615125,32.044496'",雨山路
7588,"'118.626645,32.057396'",文德路
7589,"'118.635204,32.064712'",龙华路
7590,"'118.648245,32.066794'",南京工业大学
7591,"'118.657082,32.061689'",浦口万汇城
7592,"'118.665528,32.057186'",临江·青奥体育公园
7593,"'118.703335,32.031632'",江心洲
7594,"'118.716735,32.024161'",绿博园
7595,"'118.721781,32.015473'",梦都大街
7596,"'118.718286,32.009065'",奥体中心
7597,"'118.721449,31.995471'",元通
7598,"'118.73317,31.987911'",中胜
7599,"'118.744681,31.982464'",小行
7600,"'118.762136,31.990862'",安德门
7783,"'118.887659,31.737687'",空港新城江宁
7784,"'118.87364,31.730279'",禄口机场
7785,"'118.829201,31.754866'",翔宇路南
7786,"'118.821542,31.791284'",翔宇路北
7787,"'118.805809,31.845115'",正方中路
7788,"'118.795378,31.886312'",吉印大道
7789,"'118.791365,31.914086'",河海大学·佛城西路
7790,"'118.784514,31.94253'",翠屏山
7791,"'118.796786,31.970968'",南京南站
7864,"'118.866246,31.323464'",建工局
7865,"'118.865451,31.32704'",康桥家园
7866,"'118.864848,31.328759'",王村
7867,"'118.86569,31.332422'",大市场
7868,"'118.870468,31.332418'",怡城花园
7869,"'118.874844,31.33253'",中心小学
7870,"'118.878616,31.332691'",富康花园
7871,"'118.881714,31.332813'",天泰雅居
7872,"'118.885534,31.332973'",世纪花园
7873,"'118.888228,31.333092'",江山嘉园
7874,"'118.892036,31.333239'",金地康城
7875,"'118.895306,31.333378'",武家嘴大酒店
7876,"'118.898466,31.333612'",公交车站
8033,"'118.815833,31.326636'",阳江镇政府
8034,"'118.814936,31.32836'",阳江农行
8035,"'118.820511,31.331775'",阳江小学西区
8036,"'118.821997,31.331657'",阳江卫生院
8037,"'118.825892,31.329573'",史家拐
8038,"'118.831555,31.334533'",张家坝
8039,"'118.850595,31.337998'",公路站
8040,"'118.853828,31.3375'",螃蟹市场北
8041,"'118.856042,31.334722'",螃蟹市场南
8042,"'118.86074,31.33389'",蒋家
8043,"'118.864974,31.328307'",王村
8044,"'118.865477,31.326489'",康桥家园
8046,"'118.87085,31.328724'",甘霖路口
8047,"'118.87426,31.328785'",凤岭公园
8048,"'118.878585,31.328702'",交通运输局
8049,"'118.883138,31.328138'",北漪园
8050,"'118.888021,31.327436'",高级中学(唐家)
8051,"'118.891246,31.327287'",区政府
8052,"'118.894067,31.327305'",区政府(教育局)
8053,"'118.896088,31.329449'",卫健委
8054,"'118.896301,31.332453'",长途车站
8562,"'118.787315,32.125885'",五马渡总站北
8563,"'118.791794,32.130306'",达摩古洞
